Algorithm,Target,Dataset,RMSE,MAE,Train_time,Pred_time
Adaboost,CVaR,Original,0.0174,0.0114,19.4908,0.1509
Adaboost,CVaR,FTest,0.0134,0.0099,0.4316,0.0000
Adaboost,CVaR,Pearson,0.0126,0.0094,0.4802,0.0156
Adaboost,CVaR,Spearman,0.0122,0.0088,4.5853,0.1160
Adaboost,CVaR,Intersection,0.0120,0.0087,0.4380,0.0157
Adaboost,CVaR,Combined,0.0126,0.0097,1.3455,0.0313
Adaboost,CVaR,Vix,0.0156,0.0108,0.2629,0.0319
Adaboost,Volatility,Original,0.0092,0.0047,1.7312,0.0156
Adaboost,Volatility,FTest,0.0066,0.0050,0.1107,0.0000
Adaboost,Volatility,Pearson,0.0081,0.0056,0.0977,0.0000
Adaboost,Volatility,Spearman,0.0070,0.0043,0.5292,0.0156
Adaboost,Volatility,Intersection,0.0067,0.0042,0.0893,0.0000
Adaboost,Volatility,Combined,0.0062,0.0042,0.7851,0.0156
Adaboost,Volatility,Vix,0.0075,0.0049,0.1695,0.0156
Adaboost,MaxDrawdown,Original,0.0266,0.0194,1.2880,0.0078
Adaboost,MaxDrawdown,FTest,0.0293,0.0209,0.1100,0.0000
Adaboost,MaxDrawdown,Pearson,0.0298,0.0212,0.4403,0.0144
Adaboost,MaxDrawdown,Spearman,0.0265,0.0189,0.9210,0.0312
Adaboost,MaxDrawdown,Intersection,0.0281,0.0197,0.0970,0.0000
Adaboost,MaxDrawdown,Combined,0.0290,0.0209,2.9098,0.0807
Adaboost,MaxDrawdown,Vix,0.0342,0.0233,0.0374,0.0088
GradientBoosting,CVaR,Original,0.0137,0.0098,6.6231,0.0129
GradientBoosting,CVaR,FTest,0.0145,0.0100,0.3588,0.0000
GradientBoosting,CVaR,Pearson,0.0146,0.0101,0.2371,0.0046
GradientBoosting,CVaR,Spearman,0.0136,0.0095,0.2257,0.0042
GradientBoosting,CVaR,Intersection,0.0136,0.0093,0.1135,0.0167
GradientBoosting,CVaR,Combined,0.0168,0.0123,8.9629,0.0000
GradientBoosting,CVaR,Vix,0.0156,0.0106,0.1082,0.0162
GradientBoosting,Volatility,Original,0.0064,0.0043,5.5829,0.0198
GradientBoosting,Volatility,FTest,0.0069,0.0046,0.9024,0.0000
GradientBoosting,Volatility,Pearson,0.0068,0.0048,0.1346,0.0000
GradientBoosting,Volatility,Spearman,0.0078,0.0043,0.2185,0.0000
GradientBoosting,Volatility,Intersection,0.0062,0.0041,0.5586,0.0000
GradientBoosting,Volatility,Combined,0.0060,0.0038,2.0172,0.0000
GradientBoosting,Volatility,Vix,0.0075,0.0048,0.0709,0.0067
GradientBoosting,MaxDrawdown,Original,0.0299,0.0194,6.6013,0.0000
GradientBoosting,MaxDrawdown,FTest,0.0297,0.0205,4.1252,0.0072
GradientBoosting,MaxDrawdown,Pearson,0.0318,0.0220,3.9799,0.0156
GradientBoosting,MaxDrawdown,Spearman,0.0273,0.0142,4.0345,0.0167
GradientBoosting,MaxDrawdown,Intersection,0.0278,0.0188,1.2585,0.0000
GradientBoosting,MaxDrawdown,Combined,0.0292,0.0154,3.8027,0.0000
GradientBoosting,MaxDrawdown,Vix,0.0345,0.0223,0.1600,0.0156
XGBoost,CVaR,Original,0.0174,0.0118,0.4540,0.0438
XGBoost,CVaR,FTest,0.0150,0.0100,0.0341,0.0077
XGBoost,CVaR,Pearson,0.0163,0.0108,0.0300,0.0000
XGBoost,CVaR,Spearman,0.0136,0.0095,0.0732,0.0157
XGBoost,CVaR,Intersection,0.0146,0.0100,0.0690,0.0000
XGBoost,CVaR,Combined,0.0161,0.0105,0.1706,0.0076
XGBoost,CVaR,Vix,0.0158,0.0106,0.0593,0.0043
XGBoost,Volatility,Original,0.0116,0.0054,0.0747,0.0120
XGBoost,Volatility,FTest,0.0070,0.0042,0.0684,0.0083
XGBoost,Volatility,Pearson,0.0097,0.0051,0.0628,0.0020
XGBoost,Volatility,Spearman,0.0089,0.0047,0.0682,0.0040
XGBoost,Volatility,Intersection,0.0066,0.0042,0.0407,0.0000
XGBoost,Volatility,Combined,0.0081,0.0049,0.0547,0.0092
XGBoost,Volatility,Vix,0.0086,0.0047,0.0176,0.0045
XGBoost,MaxDrawdown,Original,0.0318,0.0188,0.1393,0.0312
XGBoost,MaxDrawdown,FTest,0.0306,0.0197,0.1148,0.0000
XGBoost,MaxDrawdown,Pearson,0.0318,0.0221,0.0450,0.0000
XGBoost,MaxDrawdown,Spearman,0.0260,0.0153,0.0723,0.0080
XGBoost,MaxDrawdown,Intersection,0.0325,0.0201,0.0296,0.0000
XGBoost,MaxDrawdown,Combined,0.0318,0.0201,0.0748,0.0145
XGBoost,MaxDrawdown,Vix,0.0334,0.0224,0.0643,0.0000
LightGBM,CVaR,Original,0.0163,0.0112,0.7154,0.0414
LightGBM,CVaR,FTest,0.0156,0.0103,0.0183,0.0000
LightGBM,CVaR,Pearson,0.0154,0.0105,0.0227,0.0090
LightGBM,CVaR,Spearman,0.0148,0.0096,0.0119,0.0000
LightGBM,CVaR,Intersection,0.0151,0.0096,0.0135,0.0039
LightGBM,CVaR,Combined,0.0152,0.0106,0.0461,0.0110
LightGBM,CVaR,Vix,0.0160,0.0107,0.0165,0.0071
LightGBM,Volatility,Original,0.0081,0.0049,0.7501,0.0110
LightGBM,Volatility,FTest,0.0074,0.0047,0.0154,0.0000
LightGBM,Volatility,Pearson,0.0072,0.0049,0.0575,0.0080
LightGBM,Volatility,Spearman,0.0074,0.0043,0.0193,0.0000
LightGBM,Volatility,Intersection,0.0068,0.0042,0.0110,0.0124
LightGBM,Volatility,Combined,0.0074,0.0044,0.0483,0.0090
LightGBM,Volatility,Vix,0.0076,0.0048,0.0404,0.0044
LightGBM,MaxDrawdown,Original,0.0304,0.0176,0.2172,0.0193
LightGBM,MaxDrawdown,FTest,0.0302,0.0207,0.0905,0.0000
LightGBM,MaxDrawdown,Pearson,0.0305,0.0211,0.0721,0.0090
LightGBM,MaxDrawdown,Spearman,0.0239,0.0141,0.0774,0.0156
LightGBM,MaxDrawdown,Intersection,0.0288,0.0194,0.0633,0.0055
LightGBM,MaxDrawdown,Combined,0.0254,0.0153,0.0676,0.0081
LightGBM,MaxDrawdown,Vix,0.0353,0.0224,0.0125,0.0065
CatBoost,CVaR,Original,0.0169,0.0097,1.4517,0.0252
CatBoost,CVaR,FTest,0.0143,0.0100,0.1870,0.0006
CatBoost,CVaR,Pearson,0.0151,0.0092,0.1766,0.0011
CatBoost,CVaR,Spearman,0.0137,0.0091,0.0778,0.0000
CatBoost,CVaR,Intersection,0.0152,0.0092,0.3996,0.0157
CatBoost,CVaR,Combined,0.0146,0.0105,0.4777,0.0048
CatBoost,CVaR,Vix,0.0159,0.0107,0.1092,0.0000
CatBoost,Volatility,Original,0.0076,0.0049,0.5587,0.0096
CatBoost,Volatility,FTest,0.0075,0.0046,0.1342,0.0000
CatBoost,Volatility,Pearson,0.0069,0.0045,0.1132,0.0038
CatBoost,Volatility,Spearman,0.0077,0.0042,0.0795,0.0145
CatBoost,Volatility,Intersection,0.0071,0.0041,0.0733,0.0000
